100,310,50,20,1
170,270,50,20,1
240,230,60,20,1
340,180,60,20,1
450,140,30,20,1
550,140,30,20,1
620,90,30,20,1
0,400,550,20,1
550,400,270,20,1
660,260,150,20,1
920,400,350,20,1
1210,510,60,20,1
1360,510,230,20,1
780,80,510,10,1
1290,80,710,10,1
1360,400,420,20,1
1810,500,40,20,1
1750,560,30,20,1
1660,560,30,20,1
1880,400,420,20,1
2090,320,40,20,1
2180,240,40,20,1
2260,240,40,20,1
2340,240,30,20,1
2420,240,40,20,1
2370,160,40,20,1
2290,110,40,20,1
2370,50,40,20,1
2480,50,50,20,1
2390,400,530,20,1
2600,50,280,20,1
2980,200,40,20,1
3080,270,50,20,1
3020,400,180,20,1
2690,590,510,10,2
2110,590,490,10,2
1480,590,590,10,2
880,590,600,10,2
340,590,550,10,2
