brick,0,550,220,20
brick,260,500,340,20
brick,630,460,40,20
brick,670,270,20,210
brick,370,410,180,20
brick,320,410,70,20
brick,250,380,50,20
brick,340,340,50,20
brick,430,310,210,20
brick,650,270,30,20
brick,210,190,360,20
brick,570,230,30,20
brick,40,240,120,20
brick,100,170,30,20
brick,170,120,40,20
brick,270,90,250,20
brick,590,50,50,20
brick,710,50,60,20
brick,770,50,30,20
drop,18,534,5,10
drop,78,534,5,10
drop,128,534,5,10
drop,178,534,5,10
drop,258,354,5,10
drop,288,354,5,10
drop,478,284,5,10
drop,508,284,5,10
drop,538,284,5,10
drop,578,284,5,10
drop,278,164,5,10
drop,328,164,5,10
drop,388,164,5,10
drop,448,164,5,10
drop,508,164,5,10
gold,56,216,10,10
gold,646,436,10,10
gold,666,246,10,10
gold,286,66,10,10
gold,496,66,10,10
gold,496,56,10,10
gold,496,46,10,10
star,716,26,10,10
