100,310,50,20,1
170,270,50,20,1
240,230,60,20,1
340,180,60,20,1
450,140,30,20,1
550,140,30,20,1
620,90,30,20,1
0,400,550,20,1
550,400,270,20,1
660,260,150,20,1
920,400,350,20,1
1210,510,60,20,1
1360,510,230,20,1
780,80,510,10,1
1290,80,710,10,1
1360,400,420,20,1
1810,500,40,20,1
1750,560,30,20,1
1660,560,30,20,1
1880,400,420,20,1
2090,320,40,20,1
2180,240,40,20,1
2260,240,40,20,1
2340,240,30,20,1
2420,240,40,20,1
2370,160,40,20,1
2290,110,40,20,1
2370,50,40,20,1
2480,50,50,20,1
2390,400,530,20,1
2600,50,280,20,1
2980,200,40,20,1
3080,270,50,20,1
3020,400,180,20,1
120,270,20,30,2
80,360,20,30,2
200,360,20,30,2
350,360,20,30,2
510,360,20,30,2
270,190,20,30,2
370,140,20,30,2
460,100,20,30,2
560,90,20,30,2
630,50,20,20,3
620,50,20,20,3
670,220,20,30,2
720,220,20,30,2
770,220,20,30,2
1220,470,20,20,3
1250,470,20,20,3
1380,470,20,30,2
1440,470,20,30,2
1490,470,20,30,2
1550,470,20,30,2
1670,510,20,20,3
1650,510,20,20,3
1750,510,20,20,3
2190,200,20,30,2
2270,200,20,30,2
2350,200,20,30,2
2300,60,20,30,2
2380,10,20,20,3
2480,10,20,20,3
2510,10,20,20,3
2670,10,20,30,2
2730,10,20,30,2
2800,10,20,30,2
2990,150,20,30,2
3030,350,20,30,2
